ID,成品面料内部编号,基础面料编号,颜色内部编号,修图参考图链接地址,html????
5453,40DWS_DRPK,40DWS,DRPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307161618.jpg,#FF41C3
5453,40DWS_DRPK,40DWS,DRPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307161618.jpg,#FF41C3
5460,40DWS_DSGN,40DWS,DSGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307161640.jpg,#4B5541
5460,40DWS_DSGN,40DWS,DSGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307161640.jpg,#4B5541
5429,40DWS_EBL,40DWS,EBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307162019.jpg,#2D2369
5402,40DWS_HPK,40DWS,HPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163227.jpg,#FF2DAF
8649,40DWS_HRGN,40DWS,HRGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20240313144526.png,#059169
5435,40DWS_JGN,40DWS,JGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163407.jpg,#69735F
5435,40DWS_JGN,40DWS,JGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163407.jpg,#69735F
5435,40DWS_JGN,40DWS,JGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163407.jpg,#69735F
5435,40DWS_JGN,40DWS,JGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163407.jpg,#69735F
5441,40DWS_LAGN,40DWS,LAGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163514.jpg,#37412D
5441,40DWS_LAGN,40DWS,LAGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163514.jpg,#37412D
5441,40DWS_LAGN,40DWS,LAGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163514.jpg,#37412D
5441,40DWS_LAGN,40DWS,LAGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307163514.jpg,#37412D
10740,40DWS_LBL,40DWS,LBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20250812114106.jpg,#AFE1F5
